experiment,phi,param,mean,std,n,n_realizations
mrw,rms,-4.0,0.65978409500697,0.026833742289953524,16384,10
mrw,rms,-3.5,0.6453282777479735,0.023782606477994187,16384,10
mrw,rms,-3.0,0.6303381661923835,0.021022267471635908,16384,10
mrw,rms,-2.5,0.6151252056433558,0.018815248542491555,16384,10
mrw,rms,-2.0,0.599951710540169,0.017323378338540748,16384,10
mrw,rms,-1.5,0.5849922506949511,0.016589818175592724,16384,10
mrw,rms,-1.0,0.5703398485029075,0.016559214101428868,16384,10
mrw,rms,-0.5,0.5560205111123036,0.01710276914220288,16384,10
mrw,rms,0.0,0.5420021166161411,0.01804769738075303,16384,10
mrw,rms,0.5,0.528210626712999,0.0192047510020333,16384,10
mrw,rms,1.0,0.514560166780244,0.020395826152869063,16384,10
mrw,rms,1.5,0.5009800848535911,0.021479819324460636,16384,10
mrw,rms,2.0,0.48742544867708837,0.022366398343361155,16384,10
mrw,rms,2.5,0.4738846858982299,0.02302815935046888,16384,10
mrw,rms,3.0,0.46040091820306034,0.02351783319746622,16384,10
mrw,rms,3.5,0.447096856034723,0.02396145248743199,16384,10
mrw,rms,4.0,0.4341688904575595,0.024496942100728367,16384,10
mrw,mad,-4.0,0.6676137873854764,0.02623646896109521,16384,10
mrw,mad,-3.5,0.6517596570540583,0.022827774911340776,16384,10
mrw,mad,-3.0,0.634942024249449,0.019423996122162602,16384,10
mrw,mad,-2.5,0.6175870485813866,0.01640067395684103,16384,10
mrw,mad,-2.0,0.6001668405130746,0.014152701710764647,16384,10
mrw,mad,-1.5,0.5830862487191796,0.012977163275875312,16384,10
mrw,mad,-1.0,0.5666262264685938,0.012975808743275266,16384,10
mrw,mad,-0.5,0.5509224537993382,0.01403416602890943,16384,10
mrw,mad,0.0,0.5359482553585584,0.015895260456452294,16384,10
mrw,mad,0.5,0.5215220297450504,0.0182092909395846,16384,10
mrw,mad,1.0,0.5073816687426731,0.020586079884461102,16384,10
mrw,mad,1.5,0.49329561901592356,0.022712606759984107,16384,10
mrw,mad,2.0,0.4791294525490507,0.02442280960366967,16384,10
mrw,mad,2.5,0.4648643943470162,0.0256847903063488,16384,10
mrw,mad,3.0,0.4506035433137228,0.026571035826045586,16384,10
mrw,mad,3.5,0.4365587784234872,0.02722030321236037,16384,10
mrw,mad,4.0,0.42299601808088355,0.02777280028320994,16384,10
mrw,q0.75,-4.0,0.6678805741857805,0.031082438077618957,16384,10
mrw,q0.75,-3.5,0.6527800801176762,0.027153611002791837,16384,10
mrw,q0.75,-3.0,0.6369834214945013,0.023334575330816912,16384,10
mrw,q0.75,-2.5,0.6208551161950427,0.02001957389564315,16384,10
mrw,q0.75,-2.0,0.6047412090999742,0.01757194114548406,16384,10
mrw,q0.75,-1.5,0.58890292387639,0.016211956916742893,16384,10
mrw,q0.75,-1.0,0.5734987944337512,0.015949180612991314,16384,10
mrw,q0.75,-0.5,0.5585902739886374,0.016607439143781166,16384,10
mrw,q0.75,0.0,0.5441456019405003,0.01791780234740367,16384,10
mrw,q0.75,0.5,0.530052516953291,0.0195809043678703,16384,10
mrw,q0.75,1.0,0.5161643316471867,0.02130788040592135,16384,10
mrw,q0.75,1.5,0.5023577910720037,0.022877820904764787,16384,10
mrw,q0.75,2.0,0.4885601525697882,0.02416663826354134,16384,10
mrw,q0.75,2.5,0.4747556159000791,0.02514278579741851,16384,10
mrw,q0.75,3.0,0.4609998441262362,0.02586258429699651,16384,10
mrw,q0.75,3.5,0.44743520488091415,0.02645133566151025,16384,10
mrw,q0.75,4.0,0.43427373402573155,0.027043984577332553,16384,10
mrw,huber,-4.0,0.6601053064168478,0.02924962574437593,16384,10
mrw,huber,-3.5,0.645323173279544,0.025682528657559513,16384,10
mrw,huber,-3.0,0.6298637223771479,0.022258118388395146,16384,10
mrw,huber,-2.5,0.614050743262225,0.019326761827020443,16384,10
mrw,huber,-2.0,0.5982030440418848,0.017215435785117694,16384,10
mrw,huber,-1.5,0.5825842230648002,0.016133621522948765,16384,10
mrw,huber,-1.0,0.5673785604068604,0.016101898116265147,16384,10
mrw,huber,-0.5,0.5526755109590603,0.016961619518271336,16384,10
mrw,huber,0.0,0.5384553515571078,0.01845373581173938,16384,10
mrw,huber,0.5,0.5245963092346704,0.020275372332123686,16384,10
mrw,huber,1.0,0.5109272096361248,0.022123949924169915,16384,10
mrw,huber,1.5,0.49729716552638364,0.023761383260752562,16384,10
mrw,huber,2.0,0.48361206895183273,0.0250501416500285,16384,10
mrw,huber,2.5,0.46984800874526755,0.02596025675254724,16384,10
mrw,huber,3.0,0.45607345523250736,0.026577730813546665,16384,10
mrw,huber,3.5,0.44246504476291265,0.027077761396686516,16384,10
mrw,huber,4.0,0.4292742284251287,0.027630445500602008,16384,10
mrw,rms,dtheta,-0.12057372306329123,0.0344493316841842,16384,10
