experiment,phi,param,mean,std,n,n_realizations
fgn,rms,0.3,0.30336826527154026,0.016382766506343727,16384,20
fgn,rms,0.5,0.4986743279091047,0.025095486797771207,16384,20
fgn,rms,0.7,0.6902685080479978,0.022637103919873818,16384,20
fgn,l1,0.3,0.3027711885290052,0.017167029312897125,16384,20
fgn,l1,0.5,0.4969235932329507,0.026390435034894882,16384,20
fgn,l1,0.7,0.6890074325033037,0.022688641497430436,16384,20
fgn,lp0.5,0.3,0.3018463246838481,0.017863934219675436,16384,20
fgn,lp0.5,0.5,0.49541576010267824,0.027268213294365178,16384,20
fgn,lp0.5,0.7,0.6880184671036527,0.022707774474605917,16384,20
fgn,mad,0.3,0.3026253293192544,0.01830176582579177,16384,20
fgn,mad,0.5,0.4922636456107803,0.028644199789239575,16384,20
fgn,mad,0.7,0.6867961353059977,0.023008349249504192,16384,20
fgn,q0.75,0.3,0.30592296308998523,0.016713153229113986,16384,20
fgn,q0.75,0.5,0.5002240034730396,0.027239258076356177,16384,20
fgn,q0.75,0.7,0.691940453469705,0.023351735694959436,16384,20
fgn,q0.9,0.3,0.310443555523098,0.01615087749459466,16384,20
fgn,q0.9,0.5,0.5063574671373845,0.023708614307155193,16384,20
fgn,q0.9,0.7,0.6978110216480632,0.022558579706310488,16384,20
fgn,iqr,0.3,0.3100974586386889,0.01905915242053307,16384,20
fgn,iqr,0.5,0.5021162352977453,0.029154646457199365,16384,20
fgn,iqr,0.7,0.6945527500815107,0.023252035708913796,16384,20
fgn,huber,0.3,0.3029491496255724,0.01756888269121782,16384,20
fgn,huber,0.5,0.4961703390303341,0.027584449682158934,16384,20
fgn,huber,0.7,0.6882965673242003,0.023267745565260605,16384,20
fgn,tstd10,0.3,0.3079820626194431,0.017284457186129195,16384,20
fgn,tstd10,0.5,0.5017931752143787,0.02700706235406717,16384,20
fgn,tstd10,0.7,0.6939929072199325,0.023145399724659205,16384,20
fgn,linf,0.3,0.3648635924745217,0.013193240954958151,16384,20
fgn,linf,0.5,0.5411121696290111,0.020694699649432317,16384,20
fgn,linf,0.7,0.7188358629188774,0.02291507026498631,16384,20
fgn,entpow,0.3,0.3473695997267487,0.014413269363654497,16384,20
fgn,entpow,0.5,0.5307851270896403,0.022093543124198912,16384,20
fgn,entpow,0.7,0.7089264557221533,0.01907705200081384,16384,20
