experiment,phi,param,mean,std,n,n_realizations
arfima,rms,-0.2,0.3082516428575417,0.015686264984808677,16384,10
arfima,rms,0.2,0.6938723743537107,0.012024534783485632,16384,10
arfima,rms,0.4,0.8899831184490434,0.022809222039652695,16384,10
arfima,l1,-0.2,0.30634378065508205,0.01747551673708653,16384,10
arfima,l1,0.2,0.6930107431831218,0.014340345232348551,16384,10
arfima,l1,0.4,0.8904581658565235,0.023309747097897206,16384,10
arfima,mad,-0.2,0.3048008965706127,0.020692299891889882,16384,10
arfima,mad,0.2,0.6874247258506289,0.01656770344081548,16384,10
arfima,mad,0.4,0.8899054849548964,0.023355563371654214,16384,10
arfima,q0.75,-0.2,0.3095370031189791,0.017239129869565432,16384,10
arfima,q0.75,0.2,0.6972505500242733,0.013360714232460314,16384,10
arfima,q0.75,0.4,0.8932931023727994,0.02133637881647806,16384,10
arfima,huber,-0.2,0.30559435229451626,0.018800360131504892,16384,10
arfima,huber,0.2,0.6929719732047674,0.015509004454665923,16384,10
arfima,huber,0.4,0.8904456260138769,0.02268767193522687,16384,10
arfima,tstd10,-0.2,0.311222250741854,0.017884399454254976,16384,10
arfima,tstd10,0.2,0.6986740098464238,0.01444549150958203,16384,10
arfima,tstd10,0.4,0.8956264542636946,0.022603867606949428,16384,10
