experiment,phi,param,mean,std,n,n_realizations
surrogate,fGn H=0.7,dh,0.017629122325660763,0.02928021961555324,16384,5
surrogate,fGn H=0.7,dh_shuffled,0.021783762407317508,0.006170760003047756,16384,5
surrogate,fGn H=0.7,dtheta,-0.013457153290941215,0.008634081009919786,16384,5
surrogate,cascade m0=0.6,dh,0.2350017998946375,0.013133852131744724,16384,5
surrogate,cascade m0=0.6,dh_shuffled,0.07607641803783245,0.004650433843433434,16384,5
surrogate,cascade m0=0.6,dtheta,-0.11825338709451935,0.016198241715711263,16384,5
surrogate,stable a=1.5,dh,0.41202527199933847,0.032202674789031195,16384,5
surrogate,stable a=1.5,dh_shuffled,0.4146931346530055,0.04669503382774499,16384,5
surrogate,stable a=1.5,dtheta,-0.01006075405695086,0.05505791357141048,16384,5
surrogate,MRW lam2=0.05,dh,0.2120223099585358,0.045975451707858904,16384,5
surrogate,MRW lam2=0.05,dh_shuffled,0.06055678312619974,0.013713242982189153,16384,5
surrogate,MRW lam2=0.05,dtheta,-0.10943481664346733,0.03344532871310199,16384,5
surrogate,tempered stable,dh,0.08081905239676396,0.02211872873950587,16384,5
surrogate,tempered stable,dh_shuffled,0.07904076649854071,0.022063895880150036,16384,5
surrogate,tempered stable,dtheta,-0.10249839709539665,0.027069997664620583,16384,5
