experiment,phi,param,mean,std,n,n_realizations
stable,rms-cl,1.2,0.5054909880369689,0.019761932061265763,16384,20
stable,rms-cl,1.5,0.5013667398298864,0.01766777260539231,16384,20
stable,rms-cl,1.8,0.493934877025488,0.017255517197211447,16384,20
stable,rms,1.2,0.8599878128801299,0.06584368823437105,16384,20
stable,rms,1.5,0.6727711460863943,0.03293023303733625,16384,20
stable,rms,1.8,0.5501088147469047,0.029614245629022394,16384,20
stable,l1,1.2,0.8587498754525017,0.06630924016372342,16384,20
stable,l1,1.5,0.6721813353784671,0.03305735990077881,16384,20
stable,l1,1.8,0.5500955720844971,0.03114835677030686,16384,20
stable,mad,1.2,0.8644239615220725,0.06651319339502205,16384,20
stable,mad,1.5,0.6712096558775107,0.031559749371213204,16384,20
stable,mad,1.8,0.5534388106975101,0.03186682180550644,16384,20
stable,q0.75,1.2,0.8603738135387831,0.06397824634165167,16384,20
stable,q0.75,1.5,0.673311244136748,0.03177405857396908,16384,20
stable,q0.75,1.8,0.5542349328127496,0.03055373315040585,16384,20
stable,huber,1.2,0.8600212191021143,0.06620077230116475,16384,20
stable,huber,1.5,0.6706765196412209,0.03389074671614878,16384,20
stable,huber,1.8,0.5506169165427216,0.031400864606280235,16384,20
stable,tstd10,1.2,0.8642460674420654,0.06517858138100034,16384,20
stable,tstd10,1.5,0.6772666133516575,0.033062971982585454,16384,20
stable,tstd10,1.8,0.5564424529905455,0.03128523363503845,16384,20
