experiment,phi,param,mean,std,n,n_realizations
cascade,rms,-4.0,1.1493180420142224,0.022408838747592676,32768,10
cascade,rms,-3.5,1.1357908060031907,0.020511700631705793,32768,10
cascade,rms,-3.0,1.1216174058936939,0.018471975694270296,32768,10
cascade,rms,-2.5,1.1069801198021132,0.016373356762343527,32768,10
cascade,rms,-2.0,1.0920095172023623,0.014328009407655133,32768,10
cascade,rms,-1.5,1.0767544511334992,0.012488830733329693,32768,10
cascade,rms,-1.0,1.0612197428390993,0.011012558613444308,32768,10
cascade,rms,-0.5,1.0454336900947727,0.00997870186572951,32768,10
cascade,rms,0.0,1.029477589962206,0.009368200459920002,32768,10
cascade,rms,0.5,1.0134681965288954,0.009113600975398555,32768,10
cascade,rms,1.0,0.9975282761016278,0.00915394605453356,32768,10
cascade,rms,1.5,0.9817672647110793,0.009462724236800425,32768,10
cascade,rms,2.0,0.9662792122607333,0.01004629224791993,32768,10
cascade,rms,2.5,0.9511586775717648,0.010921650732475995,32768,10
cascade,rms,3.0,0.9365238276515354,0.012086322414749925,32768,10
cascade,rms,3.5,0.9225243817035519,0.013492829783614903,32768,10
cascade,rms,4.0,0.9093191304354773,0.015046117080371348,32768,10
cascade,mad,-4.0,1.1547839636026014,0.03207793357967272,32768,10
cascade,mad,-3.5,1.1395382575946162,0.029660318547073447,32768,10
cascade,mad,-3.0,1.1234365353594866,0.026972311548082564,32768,10
cascade,mad,-2.5,1.106943835043179,0.024272119917210577,32768,10
cascade,mad,-2.0,1.090494856128089,0.021813417692063526,32768,10
cascade,mad,-1.5,1.0742810484512275,0.019697321080975872,32768,10
cascade,mad,-1.0,1.058269625499213,0.017914478461964405,32768,10
cascade,mad,-0.5,1.0423785291819487,0.016430631999588594,32768,10
cascade,mad,0.0,1.026564048033651,0.015230739763561858,32768,10
cascade,mad,0.5,1.0108040633560305,0.01435198157872382,32768,10
cascade,mad,1.0,0.9950781476166028,0.013890747983802366,32768,10
cascade,mad,1.5,0.9793670954351938,0.013969388162400934,32768,10
cascade,mad,2.0,0.9636711878543123,0.014673293471532992,32768,10
cascade,mad,2.5,0.9480561270905717,0.0159884547891912,32768,10
cascade,mad,3.0,0.9326994497082813,0.017778675773894845,32768,10
cascade,mad,3.5,0.9178754152529158,0.019823203181066958,32768,10
cascade,mad,4.0,0.9038688169476217,0.02189499490670718,32768,10
cascade,q0.75,-4.0,1.1539473176495563,0.02275412161809909,32768,10
cascade,q0.75,-3.5,1.1400619664504197,0.020912036011351734,32768,10
cascade,q0.75,-3.0,1.1255468806590279,0.018960238534551952,32768,10
cascade,q0.75,-2.5,1.1106196960704664,0.016951052208009063,32768,10
cascade,q0.75,-2.0,1.0954366112466,0.01496739060500436,32768,10
cascade,q0.75,-1.5,1.08005201916695,0.013153252644171344,32768,10
cascade,q0.75,-1.0,1.0644570641383178,0.011672335852239573,32768,10
cascade,q0.75,-0.5,1.048656783104288,0.010612875913733418,32768,10
cascade,q0.75,0.0,1.0327049680510956,0.009961218509070243,32768,10
cascade,q0.75,0.5,1.0166889664861567,0.009654659950285522,32768,10
cascade,q0.75,1.0,1.0007044444728743,0.009633770120873965,32768,10
cascade,q0.75,1.5,0.9848403617071864,0.009863708174923966,32768,10
cascade,q0.75,2.0,0.9691800097564552,0.010335415030053866,32768,10
cascade,q0.75,2.5,0.9538195761453976,0.011056638510488916,32768,10
cascade,q0.75,3.0,0.9388931356296963,0.012030540744618796,32768,10
cascade,q0.75,3.5,0.9245777338915101,0.013224673806061443,32768,10
cascade,q0.75,4.0,0.9110609401178358,0.014558152044324415,32768,10
cascade,huber,-4.0,1.1506377804044798,0.023162290983381264,32768,10
cascade,huber,-3.5,1.1367995353855953,0.021460123925058014,32768,10
cascade,huber,-3.0,1.1223151779015732,0.019604472280461784,32768,10
cascade,huber,-2.5,1.1074013976470476,0.017637466666058213,32768,10
cascade,huber,-2.0,1.0922236998312786,0.01563991031646031,32768,10
cascade,huber,-1.5,1.0768521593547165,0.013762563184170795,32768,10
cascade,huber,-1.0,1.0612901614593298,0.012190242569024273,32768,10
cascade,huber,-0.5,1.045551198146683,0.01104241310856826,32768,10
cascade,huber,0.0,1.0296927108956733,0.010332696038949771,32768,10
cascade,huber,0.5,1.0137957015396277,0.010016894866112534,32768,10
cascade,huber,1.0,0.9979406793323502,0.010051890261106953,32768,10
cascade,huber,1.5,0.9821988944444874,0.01041935405786765,32768,10
cascade,huber,2.0,0.9666393869729359,0.011114930816030589,32768,10
cascade,huber,2.5,0.9513518693878081,0.012126613190160925,32768,10
cascade,huber,3.0,0.9364728967244407,0.013417376936748347,32768,10
cascade,huber,3.5,0.9221877977213108,0.014913137733239374,32768,10
cascade,huber,4.0,0.9086935616922263,0.0165070427590177,32768,10
