experiment,phi,param,mean,std,n,n_realizations
finitesize,rms,stable a=1.5|m=3|n=2048,0.09411847791892407,0.0896403350215741,2048,50
finitesize,rms,stable a=1.5|m=3|n=4096,0.0657017237428669,0.06373686178472149,4096,50
finitesize,rms,stable a=1.5|m=3|n=8192,0.046470456734203386,0.045002051523036976,8192,50
finitesize,rms,stable a=1.5|m=3|n=16384,0.03807080053496837,0.03586528000753751,16384,50
finitesize,q0.75,stable a=1.5|m=1|n=1024,0.11407819112584926,0.10504095225193547,1024,50
finitesize,q0.75,stable a=1.5|m=1|n=2048,0.09371703335904759,0.08980665503955085,2048,50
finitesize,q0.75,stable a=1.5|m=1|n=4096,0.07385310650429038,0.07278388472999105,4096,50
finitesize,q0.75,stable a=1.5|m=1|n=8192,0.04812460043538278,0.04662225011600311,8192,50
finitesize,q0.75,stable a=1.5|m=1|n=16384,0.0413504692719268,0.04006405243529154,16384,50
finitesize,q0.75,stable a=1.5|m=2|n=1024,0.10812730733821173,0.09951622929155125,1024,50
finitesize,q0.75,stable a=1.5|m=2|n=2048,0.08590208240332979,0.0823952969387691,2048,50
finitesize,q0.75,stable a=1.5|m=2|n=4096,0.06888234502840775,0.06748294758691109,4096,50
finitesize,q0.75,stable a=1.5|m=2|n=8192,0.04575782231797025,0.044196792604872234,8192,50
finitesize,q0.75,stable a=1.5|m=2|n=16384,0.03805823616226774,0.035913641924967196,16384,50
finitesize,q0.75,stable a=1.5|m=3|n=1024,0.10036383876469213,0.08971958647258145,1024,50
finitesize,q0.75,stable a=1.5|m=3|n=2048,0.08106235402118657,0.0777349200467139,2048,50
finitesize,q0.75,stable a=1.5|m=3|n=4096,0.06291500684535374,0.060496594721871286,4096,50
finitesize,q0.75,stable a=1.5|m=3|n=8192,0.0427871988235831,0.04089985304713178,8192,50
finitesize,q0.75,stable a=1.5|m=3|n=16384,0.03604186048044412,0.034068853607013685,16384,50
finitesize,huber,stable a=1.5|m=1|n=1024,0.11168415516791387,0.10533965948638424,1024,50
finitesize,huber,stable a=1.5|m=1|n=2048,0.09249732619646744,0.09071151625329797,2048,50
finitesize,huber,stable a=1.5|m=1|n=4096,0.07627683455147635,0.07588714465072871,4096,50
finitesize,huber,stable a=1.5|m=1|n=8192,0.04781660118437631,0.04700056283268745,8192,50
finitesize,huber,stable a=1.5|m=1|n=16384,0.04104380174796853,0.04050548325326825,16384,50
finitesize,huber,stable a=1.5|m=2|n=1024,0.10728626834105315,0.10174549712343062,1024,50
finitesize,huber,stable a=1.5|m=2|n=2048,0.0802792404452795,0.07875642738342499,2048,50
finitesize,huber,stable a=1.5|m=2|n=4096,0.0685185735731536,0.0681530979930477,4096,50
finitesize,huber,stable a=1.5|m=2|n=8192,0.04439350911652395,0.04380000099621791,8192,50
finitesize,huber,stable a=1.5|m=2|n=16384,0.03708956413200581,0.03590611788670228,16384,50
finitesize,huber,stable a=1.5|m=3|n=1024,0.09434781777934824,0.0875849425247277,1024,50
finitesize,huber,stable a=1.5|m=3|n=2048,0.07539940249276646,0.0736803484643852,2048,50
finitesize,huber,stable a=1.5|m=3|n=4096,0.06093832170056978,0.0602605969731495,4096,50
finitesize,huber,stable a=1.5|m=3|n=8192,0.04085691465724574,0.040275301497195354,8192,50
finitesize,huber,stable a=1.5|m=3|n=16384,0.03311979368220148,0.03244890814212628,16384,50
